rf_id,palabras_eliminadas,palabras_anadidas,L,R,G,C,comentario
RF-01,"RUC, | regularización ante el SRI.","RUC (validado con el algoritmo de verificación del SRI, dígito verificador módulo 11), | regularización.",0,1,0,1,"R · Restricción añadida: Se especifica una regla técnica y algoritmo explícito para la entrada de datos (validado con el algoritmo de verificación del SRI, dígito verificador módulo 11), restringiendo cómo debe procesarse e ingresarse el RUC. C · Cosmético o referencial: Se simplifica la frase final eliminando la referencia explícita (ante el SRI pasa a ser simplemente y estado de regularización), ya que la entidad SRI se menciona en el fragmento anterior sobre el RUC."
RF-02,planta.,planta (RFC-03 aprobado: firma veterinaria digitalizada).,1,1,0,0,"L · Léxico impreciso: Se sustituye la expresión vaga ""confirmación de firma"" de T_A por el concepto específico y concreto de ""firma veterinaria digitalizada"" en T_B. R · Restricción añadida: Se incorpora un requerimiento de formato y una regla o condición explícita mediante la referencia al estándar o regulación ""RFC-03 aprobado""."
RF-04,configurado.,"configurado, completándose en menos de 1 segundo.",0,1,0,0,R · Restricción añadida: Se añade un requisito de rendimiento no funcional o umbral de tiempo explícito (completándose en menos de 1 segundo) que condiciona el comportamiento del cálculo automático del sistema.
RF-05,(ticket),,0,0,0,1,"C · Cosmético o referencial: Solo cambia la redacción al remover la aclaración parentética (ticket). El significado del requisito se mantiene exactamente igual sin alterar reglas, agentes ni precisión léxica."
RF-06,"(brazos, piernas, costillas, lomos, cabezas) | individual.","individual, validando que la suma de pesos no supere el peso del animal más el margen de merma de despiece configurable (valor por defecto: 3%, rango permitido: 1–8%).",1,1,0,0,"L · Léxico impreciso / C · Cosmético: Al eliminar la lista explícita entre paréntesis (brazos, piernas, costillas, lomos, cabezas), se simplifica la redacción para hacer el requisito más general y conciso, evitando limitar los tipos de corte a una lista cerrada de ejemplos. R · Restricción añadida: Se añade una regla de negocio y comportamiento explícito con parámetros de validación y límites configurables (validando que la suma de pesos no supere el peso del animal más el margen de merma de despiece configurable (valor por defecto: 3%, rango permitido: 1–8%))."
RF-08,"(por ejemplo, máximo | días para pollo) | esté próximo a vencer.",(pollo: | días; res: 7 días; cerdo: 5 días; embutidos: 15 días) | falte 1 día o menos.,1,1,0,0,"L · Léxico impreciso: Se elimina la expresión vaga e indeterminada del ejemplo (por ejemplo, máximo 3 días para pollo) y se reemplaza por especificaciones exactas e inequívocas para cada categoría. R · Restricción añadida: Se agregan parámetros, reglas fijas y umbrales explícitos tanto para el cálculo por tipo de producto (pollo: 3 días; res: 7 días; cerdo: 5 días; embutidos: 15 días) como para la condición exacta de disparo de la alerta (cuando falte 1 día o menos)."
RF-09,,Una baja no se refleja en el inventario hasta que sea aprobada.,0,1,0,0,"R · Restricción añadida: Se añade una condición explícita y una regla de comportamiento para el flujo de trabajo (Una baja no se refleja en el inventario hasta que sea aprobada), determinando exactamente cuándo y bajo qué criterio el inventario debe actualizar sus saldos."
RF-11,,"Cuando la cadena esté incompleta, el sistema muestra la etiqueta ""En proceso"" en el eslabón faltante.",0,1,0,0,"R · Restricción añadida: Se añade una condición explícita y un comportamiento de la interfaz/sistema para manejar estados de excepción o datos incompletos (Cuando la cadena esté incompleta, el sistema muestra la etiqueta ""En proceso"" en el eslabón faltante)."
RF-12,el resultado | diferencias.,diferencias en libras y valor monetario.,0,1,0,1,C · Cosmético o referencial: Se elimina la palabra referencial el resultado de forma cosmética para aligerar la redacción sin cambiar el sentido de la acción de comparación. R · Restricción añadida: Se añade una condición explícita y métricas específicas sobre cómo debe realizarse el cálculo de las diferencias (en libras y valor monetario).
RF-13,baja de producto.,baja. Los reportes también son filtrables por proveedor (derivado en RF-27).,0,1,0,1,R · Restricción añadida: Se incorpora una nueva condición y capacidad de filtrado al comportamiento del reporte (Los reportes también son filtrables por proveedor). C · Cosmético o referencial: Se simplifica ligeramente una frase (pérdidas por baja de producto pasa a pérdidas por baja) y se añade una referencia cruzada explícita a otro requisito ((derivado en RF-27)).
RF-15,,La autenticación MFA (TOTP) es obligatoria para roles con capacidad de aprobar bajas y configurar precios (RFC-02 aprobado).,0,1,0,1,R · Restricción añadida: Se agrega una regla de seguridad y condición explícita para la autenticación de usuarios en función de sus privilegios (La autenticación MFA (TOTP) es obligatoria para roles con capacidad de aprobar bajas y configurar precios). C · Cosmético o referencial: Se incluye una referencia cruzada formal a una regla o requerimiento previamente aprobado (RFC-02 aprobado).
RF-16,cada local en,Las operaciones offline pendientes de sincronización no se incluyen en el cálculo de stock visible hasta que se sincronicen.,0,1,0,1,"C · Cosmético o referencial: Se simplifica la redacción eliminando la especificación geográfica/organizacional en cada local de la primera oración, haciendo que el enunciado sea más directo sin alterar la capacidad básica de consulta de stock. R · Restricción añadida: Se añade una condición explícita y una regla de comportamiento para el cálculo de datos (Las operaciones offline pendientes de sincronización no se incluyen en el cálculo de stock visible hasta que se sincronicen), estableciendo una restricción técnica sobre cómo y cuándo se afecta el saldo visible."
RF-17,aproximadas | para enriquecer la consulta | trazabilidad.,"como flujo alternativo del CU-01. El campo es opcional pero, si se ingresa, valida rango | latitud/longitud de Ecuador continental con precisión mínima de 10 metros (+/-0,0001 grados decimales).",1,1,0,1,"L · Léxico impreciso: Se elimina el término ambiguo ""aproximadas"" de TA y se especifica en TB la precisión técnica exacta requerida (mínima de 10 metros (+/-0,0001 grados decimales)). R · Restricción añadida: Se agregan reglas de validación de datos (rango de latitud/longitud correspondiente a Ecuador continental) y se establece explícitamente la condición del campo (opcional). C · Cosmético o referencial: Se añade una referencia cruzada al caso de uso correspondiente (como flujo alternativo del CU-01) y se remueve la frase explicativa ""para enriquecer la consulta de trazabilidad""."
