rf_id,item,identico,similitud,palabras_eliminadas,palabras_anadidas,commit_aparicion_TB,fecha_aparicion_TB,texto_TA,texto_TB
RF-01,25,0,0.75,"RUC, | regularización ante el SRI.","RUC (validado con el algoritmo de verificación del SRI, dígito verificador módulo 11), | regularización.",446a828,2026-09-01 17:46 -0500,"El sistema deberá permitir registrar un proveedor de animales o derivados cárnicos, almacenando su RUC, nombre y estado de regularización ante el SRI.","El sistema deberá permitir registrar un proveedor de animales o derivados cárnicos, almacenando su RUC (validado con el algoritmo de verificación del SRI, dígito verificador módulo 11), nombre y estado de regularización."
RF-02,13,0,0.88,planta.,planta (RFC-03 aprobado: firma veterinaria digitalizada).,446a828,2026-09-01 17:46 -0500,"El sistema deberá permitir registrar la guía de origen entregada por el proveedor, incluyendo número de guía, cantidad de canales y confirmación de firma del médico veterinario de planta.","El sistema deberá permitir registrar la guía de origen entregada por el proveedor, incluyendo número de guía, cantidad de canales y confirmación de firma del médico veterinario de planta (RFC-03 aprobado: firma veterinaria digitalizada)."
RF-03,17,1,1.00,,,b921494,2026-08-02 23:37 -0500,"El sistema deberá permitir registrar el ingreso de un lote (aves) o de animales individuales (cerdo, res) identificados por número de arete, incluyendo fecha, cantidad y tipo de producto.","El sistema deberá permitir registrar el ingreso de un lote (aves) o de animales individuales (cerdo, res) identificados por número de arete, incluyendo fecha, cantidad y tipo de producto."
RF-04,26,0,0.89,configurado.,"configurado, completándose en menos de 1 segundo.",446a828,2026-09-01 17:46 -0500,El sistema deberá permitir registrar el peso en libras de un producto y calcular automáticamente el costo total según el precio por libra configurado.,"El sistema deberá permitir registrar el peso en libras de un producto y calcular automáticamente el costo total según el precio por libra configurado, completándose en menos de 1 segundo."
RF-05,20,0,0.97,(ticket),,446a828,2026-09-01 17:46 -0500,"El sistema deberá generar un comprobante (ticket) con peso, precio por libra y costo total, imprimible o exportable en formato digital.","El sistema deberá generar un comprobante con peso, precio por libra y costo total, imprimible o exportable en formato digital."
RF-06,07,0,0.50,"(brazos, piernas, costillas, lomos, cabezas) | individual.","individual, validando que la suma de pesos no supere el peso del animal más el margen de merma de despiece configurable (valor por defecto: 3%, rango permitido: 1–8%).",446a828,2026-09-01 17:46 -0500,"El sistema deberá permitir registrar los cortes obtenidos al despostar un animal (brazos, piernas, costillas, lomos, cabezas) y su peso individual.","El sistema deberá permitir registrar los cortes obtenidos al despostar un animal y su peso individual, validando que la suma de pesos no supere el peso del animal más el margen de merma de despiece configurable (valor por defecto: 3%, rango permitido: 1–8%)."
RF-07,06,1,1.00,,,b921494,2026-08-02 23:37 -0500,"El sistema deberá permitir registrar el ingreso de un producto a una cámara frigorífica específica, indicando sección (cerdo o res) y fecha de ingreso.","El sistema deberá permitir registrar el ingreso de un producto a una cámara frigorífica específica, indicando sección (cerdo o res) y fecha de ingreso."
RF-08,22,0,0.77,"(por ejemplo, máximo | días para pollo) | esté próximo a vencer.",(pollo: | días; res: 7 días; cerdo: 5 días; embutidos: 15 días) | falte 1 día o menos.,446a828,2026-09-01 17:46 -0500,"El sistema deberá calcular los días restantes de vida útil de un producto según su tipo (por ejemplo, máximo 3 días para pollo) y generar una alerta visual cuando esté próximo a vencer.",El sistema deberá calcular los días restantes de vida útil de un producto según su tipo (pollo: 3 días; res: 7 días; cerdo: 5 días; embutidos: 15 días) y generar una alerta visual cuando falte 1 día o menos.
RF-09,23,0,0.85,,Una baja no se refleja en el inventario hasta que sea aprobada.,446a828,2026-09-01 17:46 -0500,"El sistema deberá permitir registrar la baja de un producto por vencimiento o mal estado, adjuntando peso, motivo y evidencia fotográfica, con aprobación del administrador general.","El sistema deberá permitir registrar la baja de un producto por vencimiento o mal estado, adjuntando peso, motivo y evidencia fotográfica, con aprobación del administrador general. Una baja no se refleja en el inventario hasta que sea aprobada."
RF-10,03,1,1.00,,,b921494,2026-08-02 23:37 -0500,"El sistema deberá permitir registrar la salida de un producto por venta a un cliente o sucursal, referenciando el número de factura del sistema contable externo.","El sistema deberá permitir registrar la salida de un producto por venta a un cliente o sucursal, referenciando el número de factura del sistema contable externo."
