rf_id,palabras_eliminadas,palabras_anadidas,L,R,G,C,comentario
RF-01,"RUC, | regularización ante el SRI.","RUC (validado con el algoritmo de verificación del SRI, dígito verificador módulo 11), | regularización.",1,1,0,0,"L · Léxico impreciso Sí En T_A, la expresión «RUC» no especifica cómo debe comprobarse su validez. T_B precisa el significado operativo de un RUC válido al indicar que debe validarse mediante el algoritmo de verificación del SRI, con dígito verificador módulo 11. R · Restricción añadida Sí T_B añade una condición que no estaba explícita en T_A: el RUC debe ser validado mediante un algoritmo específico. El sistema ya no solo debe almacenar el RUC, sino que debe comprobarlo conforme a esa regla. G · Agente No No cambia quién ejecuta la acción. El sujeto sigue siendo «el sistema» y no aparece un nuevo agente ni una pasiva relevante. C · Cosmético o referencial No, como clasificación principal Aunque se elimina la referencia «ante el SRI» y se incorpora una referencia más específica al algoritmo del SRI, el cambio no es meramente de redacción o de referencia cruzada: introduce una condición funcional de validación."
RF-02,planta.,planta (RFC-03 aprobado: firma veterinaria digitalizada).,0,1,0,1,"El cambio es principalmente C · Cosmético o referencial, y podría considerarse también R · Restricción añadida en un sentido amplio, porque la referencia ""firma veterinaria digitalizada"" implícitamente restringe el tipo de firma aceptada (digital en lugar de física). Pero si nos ceñimos a que R implica añadir un umbral, condición, regla o comportamiento nuevo, aquí no se añade una regla nueva, sino que se aclara una existente mediante una referencia aprobada. Por tanto, la clasificación más precisa es C."
RF-04,configurado.,"configurado, completándose en menos de 1 segundo.",0,1,0,0,"El cambio es una R · Restricción añadida, porque incorpora un umbral de tiempo (""menos de 1 segundo"") que restringe el comportamiento del sistema."
RF-05,(ticket),,0,0,0,1,"El cambio es C · Cosmético o referencial, porque únicamente se modifica la redacción eliminando una aclaración sinonímica, sin afectar el contenido funcional del requisito."
RF-06,"(brazos, piernas, costillas, lomos, cabezas) | individual.","individual, validando que la suma de pesos no supere el peso del animal más el margen de merma de despiece configurable (valor por defecto: 3%, rango permitido: 1–8%).",0,1,0,0,"El cambio es R · Restricción añadida, porque incorpora una regla de validación con umbral configurable (margen de merma) que restringe el comportamiento del sistema."
RF-08,"(por ejemplo, máximo | días para pollo) | esté próximo a vencer.",(pollo: | días; res: 7 días; cerdo: 5 días; embutidos: 15 días) | falte 1 día o menos.,1,1,0,0,"L · Léxico impreciso: se reemplazan expresiones vagas (""por ejemplo"", ""próximo a vencer"") por valores concretos. R · Restricción añadida: se añaden umbrales específicos (días de vida útil por tipo y condición de alerta ≤ 1 día)."
RF-09,,Una baja no se refleja en el inventario hasta que sea aprobada.,0,1,0,0,"El cambio es R · Restricción añadida, porque incorpora una regla/condición nueva sobre el comportamiento del sistema: la baja no afecta el inventario hasta ser aprobada."
RF-11,,"Cuando la cadena esté incompleta, el sistema muestra la etiqueta ""En proceso"" en el eslabón faltante.",0,1,0,0,"El cambio es R · Restricción añadida, porque incorpora una condición y un comportamiento nuevo: mostrar ""En proceso"" en el eslabón faltante cuando la cadena esté incompleta."
RF-12,el resultado | diferencias.,diferencias en libras y valor monetario.,1,1,0,0,"L · Léxico impreciso: se reemplaza la expresión vaga ""diferencias"" por una precisa (""diferencias en libras y valor monetario""). R · Restricción añadida: se añade el cálculo en dos magnitudes concretas (libras y valor monetario), ampliando/restringiendo el comportamiento."
RF-13,baja de producto.,baja. Los reportes también son filtrables por proveedor (derivado en RF-27).,0,1,0,1,"R · Restricción añadida: se incorpora un nuevo filtro (por proveedor). C · Cosmético o referencial: se añade una referencia cruzada ""(derivado en RF-27)"" y hay un pequeño cambio de redacción (""pérdidas por baja de producto"" → ""pérdidas por baja"")."
RF-15,,La autenticación MFA (TOTP) es obligatoria para roles con capacidad de aprobar bajas y configurar precios (RFC-02 aprobado).,0,1,0,1,"R · Restricción añadida: se incorpora una regla de seguridad nueva (MFA obligatoria para ciertos roles). C · Cosmético o referencial: se añade la referencia cruzada ""(RFC-02 aprobado)""."
