rf_id,palabras_eliminadas,palabras_anadidas,L,R,G,C,comentario
RF-01,"RUC, | regularización ante el SRI.","RUC (validado con el algoritmo de verificación del SRI, dígito verificador módulo 11), | regularización.",,,,,
RF-02,planta.,planta (RFC-03 aprobado: firma veterinaria digitalizada).,,,,,
RF-04,configurado.,"configurado, completándose en menos de 1 segundo.",,,,,
RF-05,(ticket),,,,,,
RF-06,"(brazos, piernas, costillas, lomos, cabezas) | individual.","individual, validando que la suma de pesos no supere el peso del animal más el margen de merma de despiece configurable (valor por defecto: 3%, rango permitido: 1–8%).",,,,,
RF-08,"(por ejemplo, máximo | días para pollo) | esté próximo a vencer.",(pollo: | días; res: 7 días; cerdo: 5 días; embutidos: 15 días) | falte 1 día o menos.,,,,,
RF-09,,Una baja no se refleja en el inventario hasta que sea aprobada.,,,,,
RF-11,,"Cuando la cadena esté incompleta, el sistema muestra la etiqueta ""En proceso"" en el eslabón faltante.",,,,,
RF-12,el resultado | diferencias.,diferencias en libras y valor monetario.,,,,,
RF-13,baja de producto.,baja. Los reportes también son filtrables por proveedor (derivado en RF-27).,,,,,
RF-15,,La autenticación MFA (TOTP) es obligatoria para roles con capacidad de aprobar bajas y configurar precios (RFC-02 aprobado).,,,,,
RF-16,cada local en,Las operaciones offline pendientes de sincronización no se incluyen en el cálculo de stock visible hasta que se sincronicen.,,,,,
RF-17,aproximadas | para enriquecer la consulta | trazabilidad.,"como flujo alternativo del CU-01. El campo es opcional pero, si se ingresa, valida rango | latitud/longitud de Ecuador continental con precisión mínima de 10 metros (+/-0,0001 grados decimales).",,,,,
RF-18,fechas.,"fechas, mostrando fecha de cambio, precio anterior, precio nuevo y usuario que lo modificó.",,,,,
RF-19,a la propietaria o al administrador general,No se permiten dos precios futuros con fechas de vigencia solapadas para el mismo tipo de producto.,,,,,
RF-20,"energía eléctrica,","energía,",,,,,
RF-21,conectividad.,"conectividad, en un máximo de 5 minutos. El modo offline se sostiene al menos 8 horas continuas. El fallback de MFA (pregunta de seguridad) está disponible en modo offline para los roles que lo requieren (RF-15).",,,,,
RF-22,,El contador de vida útil del producto devuelto se conserva desde la fecha de ingreso original a cámara.,,,,,
RF-23,su presentación,presentarla | El PDF incluye la firma veterinaria digitalizada (RFC-03 aprobado).,,,,,
RF-24,sección.,"sección, retornando resultados en menos de 2 segundos.",,,,,
RF-25,consulta | (RF-11) | externa.,vista | externa (campos delimitados según RF-26).,,,,,
