ID,Ley-Art.,Objetivo,Interesado,EV,RF/RNF,CU,Flujo,HU,CA,Componente,Mockup
1,"Art.7,45-49",Trazabilidad de origen,Propietaria,EV-01,RF-01,CU-01,HU-01,CA-01,Backend-Proveedores,MU-04
2,,Certificación sanitaria,Propietaria,EV-02,RF-02,CU-02,HU-02,CA-02,Backend-Guias,MU-05
3,,Registro de ingreso,Bodega,EV-03,RF-03,CU-01,HU-03,CA-03,Backend-Ingresos,MU-06
4,,Cálculo de costo,Bodega,EV-04,RF-04,CU-03,HU-04,CA-04,Backend-Pesaje,MU-07
5,,Comprobante físico,Bodega,EV-04,RF-05,CU-03,,,Backend-Pesaje,MU-19
6,,Registro de cortes,Carniceros,EV-05,RF-06,CU-04,HU-06,CA-06,Backend-Despiece,MU-08
7,,Control por cámara,Admin. gral.,EV-06,RF-07,CU-06,HU-07,CA-07,Backend-Inventario,MU-09
8,,Evitar pérdidas,Admin. gral.,EV-06,RF-08,CU-07,HU-08,CA-08,Backend-VidaUtil,MU-11
9,,Sustentar bajas,Admin. gral.,EV-07,RF-09,CU-10,HU-09,CA-09,Backend-Bajas,MU-13
10,,Registrar ventas,Bodega / Cliente,EV-08,RF-10,CU-09,HU-10,CA-10,Backend-Ventas,MU-14
11,,Historial completo,Agrocalidad,EV-03,RF-11,CU-08,HU-11,CA-11,Backend-Trazabilidad,MU-16
12,,Diferencias inventario,Admin. gral.,EV-09,RF-12,CU-11,,,Backend-Inventario,MU-17
13,Art.38,Decisiones gerenciales,Propietaria,EV-08,RF-13,CU-12,HU-13,CA-13,Backend-Reportes,MU-18
14,,Desempeño del negocio,Propietaria,EV-08,RF-14,CU-12,,,Backend-Reportes,MU-02
15,"Art.7,9,45-49",Delegar por rol,Propietaria,EV-01,RF-15,,HU-15,CA-15,Backend-Usuarios,MU-20
16,,Stock por fecha,Propietaria,EV-09,RF-16,CU-06,HU-16,CA-16,Backend-Inventario,MU-15
17,,Georreferencia,Admin. gral.,EV-10,RF-17,CU-01 alt.,,,Backend-Proveedores,MU-04
18,,Historial de precios,Propietaria,EV-11,RF-18,,,,Backend-Precios,MU-14
19,,Configurar precios,Propietaria,EV-11,RF-19,CU-03,HU-19,CA-19,Backend-Precios,MU-07
20,,Registrar apagones,Propietaria,EV-12,RF-20,CU-10,HU-20,CA-20,Backend-Incidentes,
21,,Continuidad operativa,Bodega,EV-13,RF-21,CU-01/03,HU-21,CA-21,Cliente-Offline,
22,,Devoluciones,Bodega,EV-14,RF-22,CU-09,,,Backend-Ventas,MU-14
23,,Auditoría Agrocalidad,Admin. gral.,EV-15,RF-23,CU-08,HU-23,CA-23,Backend-Trazabilidad,MU-16
24,,Búsqueda de producto,Bodega,EV-09,RF-24,CU-06,,,Backend-Inventario,MU-10
25,,QR de trazabilidad,Cliente,EV-03,RF-25,CU-08,,,Backend-Trazabilidad,MU-16
26,Art.R26 LOPDP,Campos públicos QR,Cliente,CCB-D01,RF-26,CU-08,HU-26,CA-26,Backend-QrPublico,MU-16
27,,Filtro por proveedor,Propietaria,CCB-RFC01,RF-27,CU-12,HU-27,CA-27,Backend-Reportes,MU-18
28,,Rendimiento pesaje,Bodega,EV-04,RNF-01,CU-03,,,Backend-Pesaje,
29,,Disponibilidad,Todos,,RNF-02,,,,Infraestructura,
30,Art.30,Autenticación segura,Admin. gral.,EV-01,RNF-03,,,,Backend-Usuarios,
31,,Usabilidad bodega,Bodega,EV-09,RNF-04,CU-01,,,Cliente-Web/Móvil,
