rf_id,palabras_eliminadas,palabras_anadidas,L,R,G,C,comentario
RF-01,"RUC, | regularización ante el SRI.","RUC (validado con el algoritmo de verificación del SRI, dígito verificador módulo 11), | regularización.",0,1,0,1,"R · Restricción añadida ✅ La adición del inciso ""(validado con el algoritmo de verificación del SRI, dígito verificador módulo 11)"" introduce una condición técnica nueva sobre el RUC: el sistema no solo debe almacenarlo, sino que debe validarlo aplicando un algoritmo específico (módulo 11). Esto añade un comportamiento verificable que antes no existía → es una restricción añadida. C · Cosmético o referencial ✅ La supresión de ""ante el SRI"" en ""estado de regularización"" es un cambio cosmético/referencial: el SRI ya se menciona explícitamente en la nueva cláusula de validación del RUC, por lo que eliminar la repetición no altera la semántica del requisito — la entidad reguladora sigue siendo implícitamente el SRI. Es una simplificación redaccional → cosmético."
RF-02,planta.,planta (RFC-03 aprobado: firma veterinaria digitalizada).,0,1,0,1,"R · Restricción añadida ✅ La expresión ""firma veterinaria digitalizada"" introduce un nuevo comportamiento/condición sobre la firma. En T_A, la ""confirmación de firma"" no especificaba su forma (podía ser manuscrita, escaneada, física, etc.); T_B establece que la firma debe ser digitalizada, restringiendo así el mecanismo con que el sistema captura y gestiona esa firma → restricción añadida. C · Cosmético o referencial ✅ El fragmento ""RFC-03 aprobado"" es una referencia cruzada a una solicitud de cambio formalmente aprobada. No modifica la funcionalidad; únicamente documenta la trazabilidad/origen del cambio → puramente referencial. Tipos descartados"
RF-04,configurado.,"configurado, completándose en menos de 1 segundo.",0,1,0,0,"R · Restricción añadida ✅ La frase ""completándose en menos de 1 segundo"" introduce un umbral de rendimiento cuantificable que antes no existía. Es un requisito no funcional (de desempeño) que impone una condición medible sobre el cálculo del costo total: la operación debe finalizar en menos de 1 s. Esto es una restricción añadida en su forma más clara (un umbral temporal explícito)."
RF-05,(ticket),,0,0,0,1,"C · Cosmético o referencial ✅ La eliminación de ""(ticket)"" es un cambio puramente redaccional. ""Comprobante"" ya era el término principal; ""ticket"" funcionaba como una aclaración sinonímica. Suprimir esta aclaración no altera la semántica del requisito: el sistema sigue debiendo generar exactamente el mismo documento, con las mismas funcionalidades (imprimible o exportable en formato digital). Es una simplificación de redacción → cosmético."
RF-06,"(brazos, piernas, costillas, lomos, cabezas) | individual.","individual, validando que la suma de pesos no supere el peso del animal más el margen de merma de despiece configurable (valor por defecto: 3%, rango permitido: 1–8%).",0,1,0,1,"R · Restricción añadida ✅ Este es el cambio dominante y muy claro. T_B introduce: Una regla de validación nueva (la suma de pesos de los cortes no puede superar cierto límite). Un umbral configurable con valor por defecto (3%) y rango permitido (1–8%). Esto añade condiciones, reglas y comportamiento verificable que no existían en T_A → restricción añadida en su forma más completa (regla + umbral + parámetros). C · Cosmético o referencial ✅ La supresión del listado ""(brazos, piernas, costillas, lomos, cabezas)"" es un cambio redaccional. Esos elementos eran meros ejemplos ilustrativos de ""cortes""; quitarlos no altera qué debe registrar el sistema (sigue registrando ""los cortes obtenidos al despostar un animal""). Es una simplificación de redacción → cosmético."
RF-08,"(por ejemplo, máximo | días para pollo) | esté próximo a vencer.",(pollo: | días; res: 7 días; cerdo: 5 días; embutidos: 15 días) | falte 1 día o menos.,1,1,0,0,"L · Léxico impreciso ✅ La expresión ""próximo a vencer"" en T_A era una expresión vaga — ¿qué significa ""próximo""? ¿1 día? ¿2 días? ¿3 días? T_B la sustituye por ""falte 1 día o menos"", eliminando la ambigüedad y estableciendo un umbral concreto → desambiguación léxica. R · Restricción añadida ✅ Se introducen dos restricciones nuevas: Especificación de vida útil por tipo de producto: T_A usaba un ejemplo ilustrativo (""por ejemplo, máximo 3 días para pollo"") sin comprometerse con una tabla cerrada. T_B fija valores concretos para cuatro categorías (pollo 3, res 7, cerdo 5, embutidos 15), lo que convierte un ejemplo orientativo en una regla de negocio con umbrales explícitos → restricción. Umbral de alerta: ""falte 1 día o menos"" añade una condición precisa de disparo de la alerta que antes no existía → también restricción (refuerza lo que L desambigua: la eliminación de la vaguedad se materializa como un umbral verificable)."
RF-09,,Una baja no se refleja en el inventario hasta que sea aprobada.,0,1,0,0,"R · Restricción añadida ✅ T_B introduce una nueva regla de comportamiento sobre el flujo de la baja: el inventario no se actualiza hasta que la aprobación se concrete. En T_A, el requisito solo mencionaba que la baja requiere aprobación, pero no especificaba qué ocurría con el inventario mientras tanto — ¿se descuenta inmediatamente? ¿se congela? ¿queda en estado pendiente? T_B cierra esa brecha estableciendo explícitamente que la baja no impacta el inventario hasta ser aprobada, lo que añade una condición verificable sobre el flujo → restricción añadida."
RF-11,,"Cuando la cadena esté incompleta, el sistema muestra la etiqueta ""En proceso"" en el eslabón faltante.",0,1,0,0,"R · Restricción añadida ✅ T_B introduce una regla de comportamiento nuevo para una situación no contemplada en T_A: ¿qué hace el sistema cuando la cadena de trazabilidad tiene eslabones faltantes? T_A no lo especificaba — podía dejar un espacio vacío, omitir el eslabón, mostrar un error, o no manejar el caso. T_B establece explícitamente que debe mostrar la etiqueta ""En proceso"" en cada eslabón faltante → es una condición/rega verificable añadida"
RF-12,el resultado | diferencias.,diferencias en libras y valor monetario.,0,1,0,1,"R · Restricción añadida ✅ T_A solo indicaba ""calculando diferencias"" sin especificar en qué unidades o dimensiones. T_B acota que las diferencias deben calcularse en libras y valor monetario, añadiendo dos condiciones verificables nuevas: el sistema debe producir la diferencia en peso (libras) y la diferencia económica (valor monetario) → restricción añadida. C · Cosmético o referencial ✅ La supresión de ""el resultado"" en ""comparar el resultado contra"" es un cambio redaccional. ""Comparar contra el inventario del sistema"" es gramaticalmente equivalente y semánticamente idéntico — el ""resultado"" del conteo físico era el único referente posible, por lo que eliminarlo no altera el significado → cosmético."
RF-13,baja de producto.,baja. Los reportes también son filtrables por proveedor (derivado en RF-27).,0,1,0,1,"R · Restricción añadida ✅ La oración añadida introduce un nuevo criterio de filtrado que no existía en T_A: el filtro por proveedor. T_A solo permitía filtrar por rango de fechas y tipo de producto; T_B añade una tercera dimensión de filtrado verificable → restricción añadida. C · Cosmético o referencial ✅ Se combinan dos aspectos cosmético/referenciales: ""pérdidas por baja de producto"" → ""pérdidas por baja"": supresión de ""de producto"", que es redundante porque el contexto ya establece que se trata de productos → cambio redaccional sin alteración semántica. ""(derivado en RF-27)"": referencia cruzada explícita al requisito funcional del cual se deriva el nuevo filtro → puramente referencial."
