id_sesion,fecha,hora_inicio,hora_fin,modalidad,participantes,ruta_artefacto,decisiones_tomadas,commits_producidos,num_commits
SES-001,2026-07-28,21:29,21:29,Remota asíncrona (UTC-5 Ecuador),Edhu Xavier Gamarra Araujo (@EdhuXav),README.md,Creación inicial del repositorio con el README base del proyecto CarniCore,0b2ca64,1
SES-002,2026-07-31,23:26,23:49,Remota asíncrona (UTC-5 Ecuador),Edhu Xavier Gamarra Araujo (@EdhuXav),01_ERS/; 02_Evidencias/; 03_Modelado/; 04_Trazabilidad/; 05_MVP/; 06_Experimento/; 07_Publicacion/; 08_Etica/,"Crear las 8 carpetas base del proyecto: 01_ERS, 02_Evidencias, 03_Modelado, 04_Trazabilidad, 05_MVP, 06_Experimento, 07_Publicacion, 08_Etica; Crear las subcarpetas internas de 02_Evidencias: Consentimientos, Entrevistas, Fotos_Entorno, Transcripciones, Cuestionario, Documentos_Organizacion, 00_Restringido; Crear las subcarpetas internas de 03_Modelado: Diagramas_UML con Diagramas_Actividad, Diagramas_Secuencia, Diagramas_Componentes, Diagramas_Despliegue, Diagramas_Clases, Diagramas_Contexto; Crear las subcarpetas internas de 06_Experimento: instrumentos, prompts_llm, resultados, scripts; Crear la subcarpeta dataset_zenodo en 07_Publicacion para el depósito FAIR; Establecer la estructura base del repositorio para la entrega 2B","f05c580, 867a173, 603f328, 5cd90cf, 77a5b6e, b1c563d, ddfa195, 14ebe39, 08f6bd4, 9ea6727, 7e1e9e2, d2dad6e",12
SES-003,2026-08-01,12:24,23:37,Remota asíncrona (UTC-5 Ecuador),Edhu Xavier Gamarra Araujo (@EdhuXav); Carlos Andrés Pérez Ruiz (@cperezr3); Kleber Obed Crespo Espinoza (@kcrespoe); Ariel Omar Castro Bajaña (@arielca868); Erick Jahir Quintero Gende (@equinteroj),01_ERS/main.tex; 01_ERS/referencias.bib; 01_ERS/figura/istar_SD.svg; 03_Modelado/Diagramas_UML/Diagramas_Actividad/01-12_Activity_Diagram_CU-XX.png; 03_Modelado/Diagramas_UML/Diagramas_Secuencia/01-12_Sequence_Diagram.png; 03_Modelado/Diagramas_UML/Diagramas_Despliegue/Deployment_Diagram.png; 08_Etica/Adenda_Segunda_Ronda.pdf; 08_Etica/Protocolo_Investigacion.pdf; 08_Etica/Instrumentos_Recoleccion.pdf; 08_Etica/Consentimiento_Informado.pdf; 08_Etica/Plan_Gestion_Datos.pdf; 08_Etica/Aval_Institucional.pdf; 08_Etica/Declaracion_Conflicto_Intereses.pdf; 08_Etica/Participantes_Externos.pdf; 08_Etica/CV_Docente.pdf; 08_Etica/Nomina_Equipo.pdf; 08_Etica/Cronograma_Gantt.pdf; 08_Etica/Analisis_Riesgos.pdf; 08_Etica/Certificado_Etica.pdf; 08_Etica/Compromiso_Confidencialidad.pdf,"Creación de los archivos fuente .drawio/.xml para los 12 diagramas de actividad (CU-01 a CU-12) y de secuencia (CU-01 a CU-12); Aprobación y publicación de los diagramas de actividad CU-01, CU-02, CU-03, CU-04, CU-05 y CU-06; Aprobación y publicación de los diagramas de secuencia CU-11 y CU-12; Aprobación y publicación del diagrama de despliegue del sistema; Inicio de la redacción del documento ERS/SRS (main.tex, referencias.bib); Inclusión del modelo estratégico i* (istar_SD.svg) en 01_ERS; Aprobación del protocolo de investigación y de los instrumentos de recolección; Aprobación del consentimiento informado, plan de gestión de datos y aval institucional; Aprobación de la declaración de conflicto de intereses y el documento de participantes externos; Incorporación del CV del docente, nómina del equipo, cronograma de Gantt y análisis de riesgos; Aprobación del certificado de ética y la adenda de la segunda ronda; Incorporación del compromiso de confidencialidad; Establecimiento de la línea base de modelado UML y la documentación ética del proyecto","67331b8, 4f657f9, 1bc8436, 0bd1034, 5d26efb, 41fc6fa, 64de544, f1bb25f, 8643fc8, 22a31cd, 1bc75a1, cc4b5e3, f0f363d, 8df849c, 030d1a9, ec3b206, 9749ed6, 8a36698, dd582b0, affb221, 8d4deec, 950193f, 89f4c6f, 0d51c4d, 8c21430, 593c327, 5cf3576, 02d012b, 9fa546c, 92754c6, 44a247d, 4e783bd, 2c6628c, be24748, 761ba28, c1e955b, e28d5a4",37
SES-004,2026-08-02,00:04,23:59,Remota asíncrona (UTC-5 Ecuador),Edhu Xavier Gamarra Araujo (@EdhuXav); Carlos Andrés Pérez Ruiz (@cperezr3); Kleber Obed Crespo Espinoza (@kcrespoe); Ariel Omar Castro Bajaña (@arielca868); Erick Jahir Quintero Gende (@equinteroj),02_Evidencias/Fotos_Entorno/*.png; 02_Evidencias/Transcripciones/*.txt; 02_Evidencias/Cuestionario/Respuestas/*.csv; 02_Evidencias/Consentimientos/ENTR-0X/*.pdf; 02_Evidencias/Documentos_Organizacion/*.pdf; 02_Evidencias/00_Restringido/05-evidencias_restringidas.7z; 02_Evidencias/Entrevistas/*.pdf; 03_Modelado/Diagramas_UML/Diagramas_Contexto/Context_Diagram.*; 03_Modelado/Diagramas_UML/Component_Diagram.png; 03_Modelado/Diagramas_UML/Class-Diagram.png; 03_Modelado/Diagramas_UML/Diagramas_Despliegue/Deployment_Diagram.*; 04_Trazabilidad/Matriz_Trazabilidad.csv; 04_Trazabilidad/priorizacion_moscow_kano.csv; 05_MVP/diseno/figma/*; 05_MVP/ejecutable/*; 05_MVP/instrucciones/README.md; 05_MVP/backend/*; 06_Experimento/prompts_llm/prompt_01_revision_preguntas_entrevista.md; 06_Experimento/prompts_llm/prompt_02_correccion_transcripciones.md; 06_Experimento/scripts/detector_ambiguedad.py; 06_Experimento/scripts/run_all.py; 06_Experimento/resultados/*.csv; 01_ERS/ERS_SRS_2A_v1.0.pdf; LICENSE; checksums.sha256; CITATION.cff; CHANGELOG.md,"Aprobación y publicación del diagrama de contexto, componentes, clases y despliegue del sistema; Aprobación de las interfaces y el enlace del diseño en Figma del MVP; Incorporación del diagrama de dependencia estratégico i* SD; Carga del certificado zoosanitario de producción y movilidad y su anexo; Mejora del consentimiento informado base del estudio; Incorporación del guion de entrevista y rúbrica de evaluación experta; Publicación del protocolo experimental y preregistro en OSF; Incorporación de la matriz de trazabilidad y priorización MoSCoW/Kano; Incorporar prompt LLM para revisión de calidad de requisitos funcionales; Incorporar prompt LLM para corrección de transcripciones de entrevistas; Carga del archivo ejecutable del MVP, su README de instrucciones y la configuración Docker; Publicación de las actas y transcripciones anonimizadas de las entrevistas ENTR-01 a ENTR-05; Aprobación de las fotos del entorno cárnico (descarga, almacenamiento, cortes, cámara frigorífica); Adición de LICENSE, LICENSE.txt, checksums.sha256 y CITATION.cff para la gobernanza FAIR del repositorio; Adopción del estándar .gitignore y .gitkeep para la estructura del repo; Generación de los resultados iniciales del detector de ambigüedad y clasificaciones; Avance en la redacción del documento ERS/SRS versión 2A v1.0 con figuras y referencias; Publicación del CHANGELOG del proyecto versión 3 con actualizaciones de documentación; Carga de los archivos comprimidos (.7z) de las entrevistas en la carpeta restringida; Cierre del MVP con la versión ejecutable y dockerización (Dockerfile, docker-compose, .env.example); Adición de los instrumentos v2.0 (cuestionario) y sus respuestas en formato XLSX","d7934be, b80203f, a887b9e, 2fb8c34, 53bb77d, 6bb38cb, 8b68bf8, 394a08c, 9fa7d8e, 1ae5261, cec51f3, dddf5c7, c01dda1, aea8573, c99d77e, 7b9574b, 38adc30, 5278634, ca6dd0a, 6ec4bca, a440633, e5eae5f, 6d867b4, f32f335, 44f434e, 29fbb32, a2f4f33, 5215f5b, a58ff84, 52d3684, d1bc8ac, 7b0c6f1, c87b9aa, c220278, 4628c93, f169035, 246294f, 764d0c4, 78626f6, 295b6da, 87b0ba1, f2e684e, 90e83bc, 0d5cdb7, 5c44255, 58e700f, 2461e3e, eeab836, fde1efa, ba9d33d, 1d86294, 155d5e3, 1452b61, 0955958, a757588, d359e2a, 4e3feac, 8a0ba61, 87f2fc2, a7f701e, c936b00, 6100649, 492fae3, e7b070e, 80232e9, dc46c3e, 6b79f23, 48e13bc, 75e20ea, 7a275ab, b921494, 3af4053, b612595, 239da9a, ebcd67f, c67d695, 510d303, 91b3696, 3b34b80, fdbf260, 9f4cb4a, eb7bc05, 1b04296, 465debc, cca3120, a3df101",86
SES-005,2026-08-28,21:59,21:59,Remota asíncrona (UTC-5 Ecuador),Edhu Xavier Gamarra Araujo (@EdhuXav),09_Defensa/.gitkeep,Crear la carpeta 09_Defensa para almacenar el material de la defensa final del proyecto,9b32adc,1
SES-006,2026-08-31,22:31,22:57,Remota asíncrona (UTC-5 Ecuador),Kleber Obed Crespo Espinoza (@kcrespoe); Erick Jahir Quintero Gende (@equinteroj),02_Evidencias/Transcripciones/2026-08-29_Chofer_ENTR-06_Transcripcion.txt; 02_Evidencias/Transcripciones/2026-08-31_Chofer_ENTR-06_Transcripcion.txt; 02_Evidencias/Transcripciones/2026-08-30_Recepcion_Bodega_ENTR-07_Transcripcion.txt; 07_Publicacion/dataset_zenodo/ANONYMIZATION.md; 07_Publicacion/dataset_zenodo/ETHICS.md,Publicación de la transcripción anonimizada de la entrevista al chofer (ENTR-06); Actualización y renombrado del archivo de transcripción ENTR-06; Publicación de la transcripción anonimizada de la entrevista al operario de recepción/bodega (ENTR-07); Adición del documento ANONYMIZATION.md para la documentación de procedimientos de anonimización en Zenodo; Adición del documento ETHICS.md con los principios éticos del estudio de campo,"585e609, 5d9120d, 5c05a28, 37f9108, 02d6ff2",5
SES-007,2026-09-01,00:03,17:59,Remota asíncrona (UTC-5 Ecuador),Edhu Xavier Gamarra Araujo (@EdhuXav); Carlos Andrés Pérez Ruiz (@cperezr3); Kleber Obed Crespo Espinoza (@kcrespoe); Ariel Omar Castro Bajaña (@arielca868); Erick Jahir Quintero Gende (@equinteroj),01_ERS/ERS_SRS_2A_v1.0.pdf; 01_ERS/ERS_SRS_2B_v2.0.tex; 01_ERS/main.tex; 01_ERS/main_completado.pdf; 01_ERS/referencias.bib; 01_ERS/rf27.json; 02_Evidencias/Consentimientos/ENTR-06-ENTR-16/*.pdf; 02_Evidencias/Transcripciones/ENTR-08-ENTR-13/*.txt; 02_Evidencias/Entrevistas/ENTR-01-ENTR-16/ACTA-XX.pdf; 02_Evidencias/00_Restringido/*.7z; 02_Evidencias/00_Restringido/fichas_tecnicas.csv; 04_Trazabilidad/Matriz_Trazabilidad.csv; 04_Trazabilidad/priorizacion_moscow_kano.csv; 06_Experimento/scripts/*; 06_Experimento/resultados/*.csv; 06_Experimento/resultados/*.json; 06_Experimento/README.md; 06_Experimento/requirements.txt; 06_Experimento/Makefile; 07_Publicacion/manuscrito_borrador.tex; 07_Publicacion/manuscrito_borrador.pdf; 07_Publicacion/manuscrito/figuras/*.png; 07_Publicacion/manuscrito/tablas/*.tex; 07_Publicacion/manuscrito/manuscrito_final.pdf; 07_Publicacion/fair_assessment.pdf; 08_Etica/README_Etica.md; 08_Etica/panel_expertos.md; 08_Etica/etiquetas_expertos.csv; 08_Etica/Plantilla_Experto_1-3_ANONIMIZADA.md; 09_Defensa/guion/guion_defensa.md; 09_Defensa/presentacion/*.pdf; 09_Defensa/fotos/*.png; 09_Defensa/evidencias/tecnico_01.*; tecnico_02.*; no_tecnico.*; 09_Defensa/folleto.*; 11_Defensa/videos/*.mp4; CITATION.cff,"Publicación de las transcripciones anonimizadas de las entrevistas ENTR-08, ENTR-09 y ENTR-10 (operario pesaje, vendedor mostrador); Publicación de las transcripciones anonimizadas de las entrevistas ENTR-11, ENTR-12 y ENTR-13; Anonimización de las transcripciones de las entrevistas ENTR-08 a ENTR-10; Corrección de la fecha de transcripción en ENTR-11, ENTR-12 y ENTR-13; Incorporación del PDF de consentimiento del chofer ENTR-06 y de los consentimientos ENTR-07 a ENTR-16; Carga de archivos comprimidos (.7z) de las entrevistas en la carpeta restringida; Adición de la ficha técnica de evidencias (ENTR-01 a ENTR-16) en la carpeta restringida; Adición de las plantillas anonimizadas de los tres expertos (Experto 1, 2 y 3); Publicación del manuscrito final en LaTeX con figuras, tablas, referencias y bibliografía; Adición de las figuras (fig1_categories, fig2_fr_status) y tablas (tabla_04, tabla_05) del manuscrito; Adición del documento fair_assessment.pdf para la evaluación FAIR del repositorio; Adición de los datos restringidos de los evaluadores; Adición del README del pipeline de análisis del experimento con instrucciones de uso; Adición de requirements.txt, Makefile, rf27.json, y scripts del pipeline (detector, run_all, importar, métricas, bootstrap, extraer_rf); Adición de los resultados del experimento (clasificaciones_detector.csv, datos crudos y procesados); Limpieza de archivos obsoletos en 06_Experimento/resultados; Adición de la matriz de trazabilidad y priorización MoSCoW/Kano actualizadas; Adición del README de ética, panel de expertos y etiquetas de validación; Adición del archivo CITATION.cff actualizado para la citación del proyecto; Adición de la presentación y guion de la defensa del proyecto; Adición de folleto de presentación y video walkthrough técnico 03; Adición del video de defensa oral del proyecto CarniCore; Fusión de ramas (merge a main) tras la aprobación de los revisores; Generación de los consentimientos y actas de entrevista enmascaradas para ENTR-01 a ENTR-16; Inclusión de las evidencias técnicas y de no-técnicos (técnicos 01, 02 y no técnico) en 09_Defensa/fotos; Renombrado y reemplazo del ERS_SRS_2A_v1.0 por la versión 2B v2.0 (borrador → documento final); Recompilación y publicación del ERS_SRS_2B_v2.0.pdf con bibliografía actualizada","7c6cfb2, 58955f1, b77b245, 508b2f4, 0bc8750, a6556d6, f5b77c9, ea98227, b47b72e, 58d43a2, d816849, 110cc7a, 4498ecc, 6df7468, e71430d, 504623c, e6ac46b, 324058f, 8d69357, 1128d14, d6da0d8, 56b3d15, e84d262, 00e2610, c9491eb, fc6c16d, a435097, c60887b, 6ad891e, 6b29d59, f49f547, cb3b510, a6aaf22, 88099ae, 932d17c, 2ddd06c, a2fea20, ec66afb, 3e7c5bd, ef91fc7, aa6a0b6, 3ab24f4, fb7e13c, 4de9ec5, bc72f88, b68e0d7, 2d694cc, 711ea15, 86117e5, ad6617e, f4b4e45, b66e76e, 9df57d9, e75fd86, 7bb0e21, 78c424b, 09b9989, 9414648, c0fc717, 737c1b8, 0ce6e44, 09b7334, 04a62f9, 4933306, 82d5aee, 5b604b5, 9f986b2, 80bf07b, 977b72d, 6811c56, c91a1a2, e84b44c, 55c77d6, cd105f6, 4a9d762, 5832f11, 383d6b9, f4fcb4a, 4a21036, f814689, 44beb98, ad0fbdb, 616e889, c1c1d2a, 0f6e76d, 74be6ec, ac5f13c, 86efdf6, d97f90b, 0f643fc, 3fc6216, daea607, 3bf3f7d, f1d9ded, 446a828, 01aecef, 60b631c, b992ad8, ed68c47, e073c6d, 196c3a4, fac96cd, f94f302, fbaed2a, 7d1180f, 0057a27, fbfb91c, 8b7d1d9, 611091b, c08a718, ca07dc2, 576ad46, 4378e40, 7bae3ee, 593c795, f5e70ff, 2715a55, a4b4e97, b6ba58d, 40d6705",120
SES-008,2026-09-03,11:04,23:47,Remota asíncrona (UTC-5 Ecuador),Edhu Xavier Gamarra Araujo (@EdhuXav); Carlos Andrés Pérez Ruiz (@cperezr3); Kleber Obed Crespo Espinoza (@kcrespoe); Ariel Omar Castro Bajaña (@arielca868); Erick Jahir Quintero Gende (@equinteroj),01_ERS/ERS_SRS_2B_v2.0.tex; 01_ERS/main.tex; 01_ERS/referencias.bib; 01_ERS/ERS_SRS_2B_v2.0.pdf; 03_Modelado/Diagramas_UML/Diagramas_Secuencia/01-12_Sequence_Diagram.drawio; 03_Modelado/Diagramas_UML/Diagramas_Secuencia/01-12_Sequence_Diagram.png; 03_Modelado/Diagramas_UML/Diagramas_Actividad/01-12_Activity_Diagram_CU-XX.drawio; 03_Modelado/Diagramas_UML/Diagramas_Contexto/Context_Diagram.drawio; 03_Modelado/Diagramas_UML/Diagramas_Contexto/Context_Diagram.png; 03_Modelado/Diagramas_UML/Diagramas_Clases/Class-Diagram.drawio; 03_Modelado/Diagramas_UML/Diagramas_Clases/Class-Diagram.png; 03_Modelado/Diagramas_UML/Diagramas_Componentes/Component_Diagram.drawio; 03_Modelado/Diagramas_UML/Diagramas_Despliegue/Deployment_Diagram.drawio; 06_Experimento/resultados/analisis_potencia.json; 06_Experimento/scripts/06_analisis_potencia.py; 06_Experimento/scripts/run_all.py; 06_Experimento/scripts/05_generar_figuras.py; 06_Experimento/scripts/07_diccionario_datos.py; 06_Experimento/figures/*.png; 07_Publicacion/dataset_zenodo/README_dataset.md; 07_Publicacion/manuscrito/figuras/figura_01-04_*.png; 07_Publicacion/manuscrito/tablas/tabla_01-05_*.tex; 07_Publicacion/manuscrito/splncs04.bst; 08_Etica/osf_deviations.pdf; 08_Etica/fair_assessment.tex; 08_Etica/fair_assessment.pdf; 08_Etica/etiquetas_expertos.csv; 08_Etica/registro_deposito.md; 09_Defensa/evidencias/*; 10_Autoria/fuentes_editables/Diagramas_*/*.drawio; 10_Autoria/aporte_individual.md; 10_Autoria/CHANGELOG.md; .dockerignore; .env.example; .gitattributes; .mailmap,"Generación del archivo de análisis de potencia estadística (analisis_potencia.json); Adición del script 06_analisis_potencia.py para la ejecución del análisis de potencia; Adición del script 05_generar_figuras.py para la generación automatizada de figuras; Adición del diccionario de datos del experimento en 06_Experimento; Actualización del manuscrito final (manuscrito_final.pdf) y de las figuras 1, 2, 3 y 4; Adición de las tablas 01, 03, 04 (acuerdo interevaluador) y 05 (potencia estadística); Inclusión del documento osf_deviations.pdf con las desviaciones del protocolo preregistrado; Adición de las fuentes editables (.drawio) y exports (.png) de los diagramas de secuencia 01 a 12; Adición de las fuentes editables (.drawio) y exports (.png) de los diagramas de actividad CU-01 a CU-12; Adición del diagrama de contexto, clases, componentes y despliegue y sus fuentes editables; Reestructuración del repositorio: renombrar carpetas 07-09 y agregar 07_Datos; Reorganización: mover scripts y datos de 06_Experimento a 07_Datos; Creación del archivo .mailmap para identificar identidades de Git; Adición de los archivos de configuración Docker (.dockerignore, .env.example) y .gitattributes; Actualización de las ACTAS-01 a ACTA-16 enmascaradas; Adición de las notas de campo de las entrevistas ENTR-02 a ENTR-14; Adición de la grabación de la sesión de verificación y de actualización de datos; Adición del archivo bitacora_sesiones.csv en 10_Autoria con el registro de sesiones; Adición del documento aporte_individual.md con el resumen de contribuciones del equipo; Firma digital del documento aporte_individual por los cinco integrantes del equipo; Cierre de la jornada de entrega 2B con la firma colectiva del aporte individual; Adición del archivo de registro de depósito de datos en Zenodo; Adición del archivo fair_assessment.tex para la evaluación FAIR; Adición de los datos del README del dataset de Zenodo; Corrección de los diagramas de secuencia CU-04 y de componente; Adición del archivo diccionario_datos.py para la documentación del dataset","c41a651, 33759b9, 5e7771a, 7100ccb, 6321ec9, 914e2ec, 10e0e3e, 88b8a94, f977867, 4b696e0, f70ef77, f8452d9, 39e1d44, 49a43db, a32efa7, 0a17390, bf06591, d67467c, 9f30ad5, ff983c4, 86b8f7d, 77fad51, 8f3c46f, c9edb30, dc0b3d7, 7043295, 4b7a98c, 86588a7, c4ad3f7, 391d49e, d92e098, beddfa1, a324162, 0b8393b, bb9abf6, e151182, 44a1b65, dd21ba7, 35f9389, d6a8391, f425dae, 6c193a2, 195490f, 5fd4aeb, 5a987ba, cfe6d9e, 70147cc, 135f89e, 89ec820, 7a55372, 37eec57, f3e221f, a061a14, 218cb9e, e6aaad7, 57c314c, 899f9a7, 4241da2, 4c42bd8, ec95e75, 7a90145, 112ae40, 54a5ab5, a10f9dc, ea59740, 602a89c, 262f915, 5a8b904, 5b97af8, c4ce0d2, 343ead2, f50d0a4, 2f0ba53, 386f01f, 3072482, d30ac48, 6daac06, 42fbbd1, 49afb62, e43d2ad, 868714c, 521954d, b002fb2, 8be4250, 3a943cc, 2afaf59, 0764811, b638643, 3f65b25, ac04938, 08526c1, 230e36a, 5d65321, 517461b, d9c7620, e129fd5, 1b10e89, 805b2c2, 1bb1b33, e7a6816, 9196fd0, 5a0be80, afbdfba, 40d2f3c, a9e60ef, 9532af2, f31c9dd, 59a32a5, 94a0c81, 33dbcab, f11bfcb, e4eefe6, 5111fa0, b2eb253, 073b4ce, cedab36, 37969f3, ab3e96c, ac44862, 0a7f4e1, 48f5cae, 4ecec54, f3e2a18, f8ece91, 1ad8156, 5f9f8b0, 44b932b, f1e6590, d556869, 7d226aa, 673ed24, 06a2fd7, 7a99c03, 61999c4, 177211f, 031ef56, e87aed8, 3bf11d6, b018f06, 1f4f58e, b341f59, a31fbdc, 8d11594, 2e3399d, 50e287b, e94595e, 0eb9b1b, 037cb81, 557558c, 9c67773, aabe813, f8e1c78, 6a6e018, cd2650d, 56f7ea6, 2cb1438, a57f3b8, 442dddc, ace038f, 2d9e84d, 1eb4cea, 2a74937, 040f572",163
SES-009,2026-09-04,00:10,22:23,Remota asíncrona (UTC-5 Ecuador),Edhu Xavier Gamarra Araujo (@EdhuXav); Carlos Andrés Pérez Ruiz (@cperezr3); Kleber Obed Crespo Espinoza (@kcrespoe); Ariel Omar Castro Bajaña (@arielca868); Erick Jahir Quintero Gende (@equinteroj),01_ERS/ERS_SRS_2B_v2.0.tex; 02_Evidencias/Entrevistas/ENTR-0X/ACTA-0X_enmascarada.pdf; 02_Evidencias/Entrevistas/ENTR-0X/acta_firmada_member_checking.pdf; 02_Evidencias/00_Restringido/fichas_tecnicas.csv; 02_Evidencias/00_Restringido/material_presentacion_member_checking.pdf; 02_Evidencias/Entrevistas/ENTR-0X/videos_walkthrough/*; 03_Modelado/Diagramas_UML/Diagramas_Actividad/002-003_Activity_Diagram_CU-XX.png; 03_Modelado/Diagramas_UML/Diagramas_Contexto/Context_Diagram.png; 03_Modelado/Diagramas_UML/Diagramas_Clases/Class-Diagram.png; 04_Trazabilidad/Matriz_Trazabilidad.csv; 05_MVP/instrucciones/README.md; 05_MVP/diseno/figma/*.fig; 05_MVP/backend/*; 06_Experimento/scripts/*; 06_Experimento/figures/.gitkeep; 07_Datos/zenodo_registro.json; 07_Datos/README_datos.md; 07_Datos/diccionario_datos.csv; 07_Datos/exif_inventario.csv; 07_Datos/videos/*; 08_Etica/README_Etica.md; 08_Etica/etiquetas_expertos.csv; 08_Etica/fair_assessment.tex; 08_Etica/fair_assessment.pdf; 08_Etica/osf_registration.tex; 08_Etica/osf_registration.pdf; 08_Etica/osf_deviations.pdf; 08_Etica/dataset_zenodo/ANONYMIZATION.md; 08_Etica/dataset_zenodo/ETHICS.md; 08_Etica/declaracion_uso_ia.md; 09_Defensa/presentacion/folleto.pdf; 09_Defensa/presentacion/presentacion.pdf; 10_Autoria/notas_campo/ENTR-0X/*.pdf; 10_Autoria/correspondencia/*.pdf; 10_Autoria/firmas/*; 10_Autoria/codificacion_doble/*; 10_Autoria/curva_potencial.*; 10_Autoria/figuras/*; 10_Autoria/fichas_tecnicas.csv; 10_Autoria/analisis_revistas.md; 10_Autoria/CHANGELOG.md; 10_Autoria/aporte_individual.md; 10_Autoria/bitacora_sesiones.csv; 10_Autoria/declaracion_uso_ia.md; 10_Autoria/informe_analisis_revistas.md; 10_Autoria/encuesta_uso_ia.json; 10_Autoria/MiembroCheck/*; CITATION.cff; checksums.sha256; checksums_datos.sha256; LICENSE; README.md; CHANGELOG.md,"Adición de las notas de campo de las entrevistas ENTR-01, ENTR-14, ENTR-15 y ENTR-16 en 10_Autoria/notas_campo; Actualización de los README (README.md, README_datos.md, README_Etica.md); Adición de las figuras de clasificación por requisito, distribución de categorías y acuerdo entre expertos; Adición del PDF de distribución de categorías para la sección de resultados; Adición del archivo README_datos.md con el orden único de reproducción y el contenido de 07_Datos/; Regeneración de checksums_datos.sha256 incorporando README_datos.md y figuras; Adición de las herramientas para la doble codificación y de los archivos del codificador A y codificador B; Adición del JSON de resultados de doble codificación y del documento de la curva potencial; Generación y actualización de checksums.sha256 del repositorio completo; Fusión (merge) final de la rama main tras la consolidación de los archivos del equipo; Adición y actualización del documento declaracion_uso_ia.md con las firmas de los cinco integrantes; Adición del archivo .tex y PDF corregido de osf_deviations con las desviaciones respecto al protocolo; Adición de la fuente osf_registration.tex, sus figuras y la recompilación del osf_registration.pdf; Adición del CSV de fotografías y metadatos (exif_inventario.csv) para la trazabilidad FAIR de las fotos; Adición de fotos de entorno actualizadas y de la figura de fotos de entorno; Actualización de CITATION.cff (sin DOI ni SWHID) y de los resultados de acuerdo entre evaluadores; Adición del CSV de análisis de revistas y actualización del archivo de análisis de revistas; Actualización del archivo de ética, del archivo anonymization y de la documentación FAIR (fair_assessment.tex/pdf v2.2); Adición de la firma digital del equipo en la declaración de uso de IA y en los documentos de ética; Adición de la actualización del folleto de presentación para la defensa; Adición del PDF del correo con la propietaria y del PDF de solicitud de sesión de verificación de resultados; Adición de la evidencia de la sesión de member checking (ficha técnica, hash y tamaño de los archivos); Adición de la fila 17 a fichas_tecnicas.csv con la sesión de member checking; Adición del material de presentación de la sesión de member checking y del acta firmada; Renombrado de los PDFs de solicitud de documentos y de solicitud de member checking; Mover videos de walkthrough a la zona restringida con actualización de las fichas técnicas; Actualización del CHANGELOG.md y de la CITATION.cff con la member checking y el conteo de contenedores; Adición de la actualización de fair_assessment.tex: 18 de 18 contenedores en verde; Adición del archivo de la figura actualizada y de la actualización del script de análisis; Regeneración de checksums.sha256 y checksums_datos.sha256 con la versión final; Cierre del paquete de replicación 2B con la integración de la trazabilidad, FAIR y la member checking","d456899, 567a9b9, 12a12f8, 4b64f86, 8e22dd6, ab690ae, 12398d4, 0f1d989, 37fcc9a, d9a9bcf, 09440ac, c3f811a, 62d3d54, 102ef48, f0ce290, 52ad77a, 4cf2e1d, 902a944, 00378da, df3ec2e, f7b70ef, 7a3a337, 23be455, bcf8ee8, fe91e37, 2a23d38, ee30f8c, 7d9c410, a8d99cb, 7f4f2c1, 8d15be3, 380a086, b0b765d, 175c103, f470fbe, caba742, 4aa822f, 7e99939, ef206ce, f7cf712, d090ebd, f124afc, afcbca9, be9cd61, 1859130, 5a6ed8d, 06e4eac, f9d8444, 4fcb43c, d07c50a, 3fa0ee9, 5b558ae, e0e4556, dde7457, dcd8287, fe07449, 76750f6, ddd4790, 3b4de67, 75c7214, 2f50bcf, f10acaf, 04150de, 9d8f514, f9ceca1, 2ae4b10, bec6c2d, c05d84c, 0fe0889, 420e40b, 0f98f1a, 755e4dc, 3411e88, 2bc15fb, fa03c7c, 2da840c, 65d5a42, 0035d10, 9841a5f, 6aebcda",80
SES-010,2026-09-05,11:18,13:36,Remota asíncrona (UTC-5 Ecuador),Carlos Andrés Pérez Ruiz (@cperezr3),08_Etica/registro_deposito.md; 01_ERS/ERS_SRS_2B_v2.0.tex; 01_ERS/ERS_SRS_2B_v2.0.pdf; checksums.sha256; checksums_datos.sha256,Corrección de la sigla del equipo en registro_deposito.md (AHMRV → CarniCore); Corrección del metadato pdftitle del ERS para mejorar la indexación en Zenodo; Recompilación del ERS_SRS_2B_v2.0.pdf con el pdftitle corregido; Regeneración de checksums.sha256 y checksums_datos.sha256 sin BOM para evitar problemas de hash; Regeneración de checksums.sha256 con el hash correcto de checksums_datos.sha256; Regeneración de ambos checksums con LF puro para evitar la normalización de fin de línea,"2219f01, ce0ed06, 86269a2, 53bf429, 23ec5d1, df243fa",6
